"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","5/78","153/23023",0.0326797385620915,9.64596949891068,6.25606319895054,0.000173419283185101,0.0228176846668894,0.0228176846668894,"Lmod1/Pln/Myl9/Myh11/Myom1",5
"GO:0032989","GO:0032989","cellular anatomical entity morphogenesis","5/78","153/23023",0.0326797385620915,9.64596949891068,6.25606319895054,0.000173419283185101,0.0228176846668894,0.0228176846668894,"Lmod1/Pln/Myl9/Myh11/Myom1",5
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","4/78","82/23023",0.0487804878048781,14.3983739837398,7.08643233782553,0.000174479798482769,0.0228176846668894,0.0228176846668894,"Trpc4/Atp2b4/Pln/Cacnb2",4
"GO:0019722","GO:0019722","calcium-mediated signaling","6/78","246/23023",0.024390243902439,7.19918699186992,5.69939588316059,0.000189140039638713,0.0238331355236742,0.0238331355236742,"Sgcd/Atp2b4/Ryr3/Agtr1a/Pln/Dmd",6
"GO:1903514","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","3/78","33/23023",0.0909090909090909,26.8333333333333,8.65850131439142,0.00018968319471089,0.0238331355236742,0.0238331355236742,"Ryr3/Pln/Dmd",3
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","7/78","356/23023",0.0196629213483146,5.80383895131086,5.32587796597213,0.000205316124051005,0.0253012639022853,0.0253012639022853,"Adcyap1r1/Kcnmb1/Agtr1a/Pln/Cacnb2/Nr3c2/Dmd",7
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","6/78","251/23023",0.0239043824701195,7.05577689243028,5.62446132413633,0.000210839754161495,0.0254917197106954,0.0254917197106954,"Trpc4/Adcyap1r1/Kcnmb1/Agtr1a/Cxcl12/Cacnb2",6
"GO:0098771","GO:0098771","inorganic ion homeostasis","8/78","485/23023",0.0164948453608247,4.86872852233677,5.02060706029926,0.000236028933449147,0.0280087667692988,0.0280087667692988,"Sgcd/Jph2/Trpc4/Atp2b4/Ryr3/Pln/Cacnb2/Nr3c2",8
"GO:0014706","GO:0014706","striated muscle tissue development","8/78","488/23023",0.0163934426229508,4.83879781420765,4.99748113950104,0.000246047065308731,0.02866671989997,0.02866671989997,"Sgcd/Jph2/Pln/Myh11/Myocd/Myom1/Gata6/Dmd",8
"GO:0051962","GO:0051962","positive regulation of nervous system development","7/78","374/23023",0.018716577540107,5.52450980392157,5.14348661422175,0.000277053755147602,0.031549092652433,0.031549092652433,"Syndig1/Cxcl12/Thbs2/Ntrk3/Clstn2/Slitrk3/Ptprd",7
"GO:1901654","GO:1901654","response to ketone","6/78","265/23023",0.0226415094339623,6.68301886792453,5.42512542826132,0.000282192867420314,0.031549092652433,0.031549092652433,"Agtr1a/Pln/Postn/Cpe/Ntrk3/Nr3c2",6
"GO:0086091","GO:0086091","regulation of heart rate by cardiac conduction","3/78","38/23023",0.0789473684210526,23.3026315789474,8.02232864874869,0.000289734831141371,0.031549092652433,0.031549092652433,"Ctnna3/Cacnb2/Kcnd3",3
"GO:1903169","GO:1903169","regulation of calcium ion transmembrane transport","5/78","171/23023",0.0292397660818713,8.63060428849902,5.839419488085,0.000290480097767407,0.031549092652433,0.031549092652433,"Adcyap1r1/Agtr1a/Pln/Cacnb2/Dmd",5
